ID,line,path,eva_nr,category,station,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,departure_delay_m,info,arrival_delay_check,departure_delay_check
6993933470489090056-2407080102-10,19,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße|Köln Trimbornstr|Köln Messe/Deutz,8000207,1,Köln Hbf,Nordrhein-Westfalen,Köln,50667,6.958729,50.94303,2024-07-08 01:39:00,2024-07-08 01:40:00,2024-07-08 01:39:00,2024-07-08 01:41:00,0,1,,on_time,on_time
-7164639570264597079-2407080053-8,11,Bergisch Gladbach|Duckterath|Köln-Dellbrück|Köln-Holweide|Köln-Mülheim|Köln-Buchforst|Köln Messe/Deutz,8000207,1,Köln Hbf,Nordrhein-Westfalen,Köln,50667,6.958729,50.94303,2024-07-08 01:13:00,2024-07-08 01:14:00,2024-07-08 01:13:00,2024-07-08 01:14:00,0,0,,on_time,on_time
-1354561819309488240-2407080138-3,26,Köln/Bonn Flughafen|Köln Messe/Deutz,8000207,1,Köln Hbf,Nordrhein-Westfalen,Köln,50667,6.958729,50.94303,2024-07-08 01:53:00,2024-07-08 01:56:00,2024-07-08 01:53:00,2024-07-08 01:56:00,0,0,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
-1228016767566463777-2407080020-23,6,Düsseldorf-Rath Mitte|Düsseldorf-Derendorf|Düsseldorf-Zoo|Düsseldorf Wehrhahn|Düsseldorf Hbf|Düsseldorf Volksgarten|Düsseldorf-Oberbilk|Düsseldorf-Eller Süd|Düsseldorf-Reisholz|Düsseldorf-Benrath|Düsseldorf-Garath|Düsseldorf-Hellerhof|Langenfeld(Rhld)-Berghausen|Langenfeld(Rhld)|Leverkusen-Rheindorf|Leverkusen-Küppersteg|Leverkusen Mitte|Leverkusen Chempark|Köln-Stammheim|Köln-Mülheim|Köln-Buchforst|Köln Messe/Deutz,8000207,1,Köln Hbf,Nordrhein-Westfalen,Köln,50667,6.958729,50.94303,2024-07-08 01:23:00,2024-07-08 01:24:00,2024-07-08 01:26:00,2024-07-08 01:27:00,3,3,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
-1537118689903044118-2407072354-29,11,Düsseldorf Flughafen Terminal|Düsseldorf-Unterrath|Düsseldorf-Derendorf|Düsseldorf-Zoo|Düsseldorf Wehrhahn|Düsseldorf Hbf|Düsseldorf Friedrichstadt|Düsseldorf-Bilk|Düsseldorf Völklinger Str.|Düsseldorf-Hamm|Neuss Rheinparkcenter|Neuss Am Kaiser|Neuss Hbf|Neuss Süd|Norf|Neuss Allerheiligen|Nievenheim|Dormagen|Dormagen Chempark|Köln-Worringen|Köln-Blumenberg|Köln-Chorweiler Nord|Köln-Chorweiler|Köln Volkhovener Weg|Köln-Longerich|Köln Geldernstr./Parkgürtel|Köln-Nippes|Köln Hansaring,8000207,1,Köln Hbf,Nordrhein-Westfalen,Köln,50667,6.958729,50.94303,2024-07-08 01:16:00,2024-07-08 01:17:00,2024-07-08 01:16:00,2024-07-08 01:17:00,0,0,,on_time,on_time
-1391171448654195053-2407080109-1,EM24,,8000207,1,Köln Hbf,Nordrhein-Westfalen,Köln,50667,6.958729,50.94303,,2024-07-08 01:09:00,,,0,0,,on_time,on_time
-2852794612513594288-2407080131-3,6,Köln-Nippes|Köln Hansaring,8000207,1,Köln Hbf,Nordrhein-Westfalen,Köln,50667,6.958729,50.94303,2024-07-08 01:36:00,2024-07-08 01:37:00,2024-07-08 01:36:00,2024-07-08 01:38:00,0,1,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
3436115895933660484-2407080048-2,6,Köln/Bonn Flughafen,8000207,1,Köln Hbf,Nordrhein-Westfalen,Köln,50667,6.958729,50.94303,2024-07-08 01:01:00,2024-07-08 01:07:00,2024-07-08 01:03:00,2024-07-08 01:07:00,2,0,,on_time,on_time
-5054126898388790406-2407080048-13,12,Blankenberg(Sieg)|Hennef im Siegbogen|Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Porz(Rhein)|Köln Steinstraße|Köln Airport-Businesspark|Köln Trimbornstr|Köln Messe/Deutz,8000207,1,Köln Hbf,Nordrhein-Westfalen,Köln,50667,6.958729,50.94303,2024-07-08 01:29:00,2024-07-08 01:30:00,2024-07-08 01:29:00,2024-07-08 01:31:00,0,1,,on_time,on_time
-5357602023898204124-2407080032-10,19,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße|Köln Trimbornstr|Köln Messe/Deutz,8000207,1,Köln Hbf,Nordrhein-Westfalen,Köln,50667,6.958729,50.94303,2024-07-08 01:09:00,2024-07-08 01:10:00,,,0,0,,on_time,on_time
